ind,ave_wage,ave_nw_comp,ave_UI,median_RR_inc_benefits,total_workers,n,total_comp,aggregate_RR,share_table
Agriculture & forestry,1000.2237475232206,159.3282813705754,915.3719002791222,1.09274672725305,1110192.85,769,1159.552028893796,0.7894185663685831,0.0090757676570489
Construction,1284.710560312018,234.18323045797004,969.4644203124543,0.81647012352872,7186726.46,4044,1518.893790769988,0.6382700529844118,0.05875110758074646
Educational & health services,1198.9436470057224,220.57906734946758,944.282056901436,0.893667872049539,30563457.58,17123,1419.52271435519,0.6652109524928389,0.24985464443600944
Financial activities,1619.094030901378,240.94430844787124,993.118585057835,0.758311531367477,9079745.05,4799,1860.038339349249,0.5339237176182543,0.07422643413623123
Information,1587.8861201928496,300.7084306640473,986.8590135647607,0.715767689136703,2460307.36,1263,1888.5945508568968,0.5225361966214512,0.02011288215762456
Leisure & hospitality,773.3825571320357,95.3069417291143,810.1635701075013,1.49997182515182,9601109.78,5231,868.68949886115,0.932627332515961,0.07848856314747465
Manufacturing,1318.4484511233118,314.3982860330321,972.4551059915259,0.758392417930823,13028851.56,7053,1632.8467371563438,0.595558103441532,0.10651017036971468
Mining,2041.6739415108855,445.3734219935387,1030.5311999624587,0.582071880278511,677895.03,572,2487.047363504424,0.4143592981318892,0.005541755910379168
Other services,898.8749298455543,124.56738022920081,897.6357238388274,1.18028656623763,5219507.33,2755,1023.4423100747551,0.8770750583618744,0.04266919554683103
Professional services,1656.6994438784652,219.79909380066795,977.2928251896163,0.779144660034089,13996732.69,7243,1876.4985376791333,0.520806600999721,0.11442254726488377
Public administration,1391.3263334607552,336.27332148550767,996.8744963570704,0.686489146073376,6425920.69,3841,1727.599654946263,0.5770286498396402,0.05253156076898112
Transportation & utilities,1268.476146462853,315.9159094468561,968.9579964862147,0.777978898329962,6798797.8,3702,1584.3920559097091,0.6115645385067706,0.055579811363453836
Wholesale & retail trade,988.079002418205,168.05475806607848,890.4352372060362,1.11709250476691,16175708.59,8866,1156.1337604842836,0.7701835787868083,0.13223555966062117
