state,benefits_level,rr_fpuc,rr_no_fpuc
AK,269.2106986743524,1.38607100709312,0.46411869839975795
AL,240.93670880510194,1.48143214980735,0.4655929613680241
AR,291.22091256600953,1.51583920843932,0.50000002
AZ,232.90356714794433,1.18514571984588,0.338613062813108
CA,313.84373981831334,1.42629712631549,0.499999994
CO,386.9175938615673,1.49632869368176,0.599999998
CT,355.3353189376672,1.45234923316187,0.499999994
DE,292.69891047090067,1.5908242529435501,0.56521738
FL,238.403756675544,1.48143214980735,0.46559296136802397
GA,304.34638504648075,1.63380802807325,0.617968839633922
HI,419.7325756858701,1.48976692837656,0.619047624
IA,345.94907172655735,1.50580923414752,0.565217393
ID,299.9695809799014,1.51583918243932,0.499999994
IL,301.0673331227158,1.4857714683413,0.469999998
IN,278.3705747369306,1.42710406227901,0.47000002400000007
KS,349.1747052350613,1.42822343830976,0.5525
KY,352.5317987623965,1.60306618236064,0.619996
LA,228.54047214846625,1.43402632101351,0.392050436788302
MA,407.8431626862201,1.34653265103277,0.499999994
MD,329.46670269138156,1.43799536668176,0.541666671
ME,324.0616432252607,1.60674828643932,0.590909098
MI,311.841314224667,1.39605328468376,0.525333980307193
MN,362.1025163755109,1.45234923316187,0.49999999399999995
MO,263.9063131844933,1.53583918843932,0.514511776354201
MS,210.3431429022066,1.47261410129659,0.414448280005627
MT,318.13347808755043,1.53583918843932,0.52
NC,264.8114454470997,1.51583918243932,0.499999994
ND,336.86147776304335,1.47676843792243,0.4999999875
NE,300.1211053933331,1.51583918243932,0.499999994
NH,301.9764723014651,1.39071930437656,0.481959259403991
NJ,463.4254499666243,1.41397370868536,0.6
NM,304.8180810912499,1.6233991284707,0.534999998
NV,342.1951173669473,1.38823862259771,0.52
NY,355.0266399452256,1.34653265103277,0.499999994
OH,335.8061011428537,1.42349017130848,0.5
OK,338.9670827144278,1.6536165234707,0.565217393
OR,408.2693913948696,1.58469573433722,0.65
PA,345.3806652505481,1.46506024667646,0.512711007514595
RI,368.6050964982994,1.36176845042243,0.5005
SC,274.2030556823811,1.38333395366884,0.487005257987088
SD,274.76773956136515,1.55086811997171,0.499999994
TN,240.26865577268532,1.42445399019937,0.436493401282522
TX,332.14192295779884,1.53414894020565,0.52
US,321.0426698548308,1.45234923316187,0.499999994
UT,325.4610099246987,1.507373855869,0.48941833578709
VA,286.214725774605,1.5358391884393203,0.52
VT,376.86207173378773,1.47410646768176,0.577777772
WA,417.83115064993336,1.37121930437656,0.5005
WI,279.6853377634233,1.53583918843932,0.52
WV,290.3436063250258,1.56583918443932,0.549999996
WY,326.43646096457763,1.53583918843932,0.52
