occupation,replacement_rate_Jan,replacement_rate_FPUC
Construction,0.49999999399999995,1.28984844321572
Food service,0.499999994,1.86900702612719
IT,0.293030535126728,0.667551466688699
Janitors,0.499999994,1.67212213450691
Managers,0.392624962402929,0.915101802252425
Medical assistants,0.49999999399999995,1.62871020337703
Nurses & therapists,0.385912023661929,0.90633566937573
Receptionist,0.499999994,1.62704051371819
Sales & retail,0.499999994,1.66371020737703
Teachers,0.482862227571492,1.16840799262085
Transport,0.499999994,1.3707192983765601
