"","icode","unem_rate_2019","unem_rate_2020","ind"
"1",3,0.0454677325256935,0.118127578340481,"Construction"
"2",4,0.0305891697741574,0.111160456478605,"Manufacturing"
"3",5,0.0413700720649901,0.139095473007252,"Wholesale and retail trade"
"4",6,0.0320638800814151,0.118090811451649,"Transportation and utilities"
"5",8,0.0211933565986478,0.0539214906007355,"Financial activities"
"6",9,0.0366513626264524,0.0875429760910015,"Professional and business services"
"7",10,0.024281071666456,0.100158783588234,"Educational and health services"
"8",11,0.0551965778483025,0.335554093975584,"Leisure and hospitality"
"9",12,0.0313392897604996,0.174003193636887,"Other services"
"10",13,0.018495183868266,0.0362001699894163,"Public administration"
